image,occlusion,cited_drop,control_drop,n_features,dataset,effect_over_control
MHIST_afm.png,black,0.2389122694730758,0.31379711180925374,2,MHIST,-0.07488484233617793
MHIST_afm.png,blur,0.19599072635173795,0.25043308585882185,2,MHIST,-0.0544423595070839
MHIST_afm.png,mean,0.3309847563505173,0.3504344701766967,2,MHIST,-0.019449713826179438
MHIST_afn.png,black,0.1604653149843216,0.1604653149843216,2,MHIST,0.0
MHIST_afn.png,blur,0.3193445429205894,0.3193445429205894,2,MHIST,0.0
MHIST_afn.png,mean,0.2635176926851272,0.2635176926851272,2,MHIST,0.0
MHIST_afo.png,black,0.2724996705849965,0.35385123863816254,3,MHIST,-0.08135156805316601
MHIST_afo.png,blur,0.1296463012695312,0.1782749891281127,3,MHIST,-0.048628687858581515
MHIST_afo.png,mean,0.16316729784011832,0.25506874918937683,3,MHIST,-0.0919014513492585
MHIST_afs.png,black,-0.03745162487030025,-0.15237419456243512,2,MHIST,0.11492256969213487
MHIST_afs.png,blur,-0.09473407268524164,-0.17244123220443724,2,MHIST,0.0777071595191956
MHIST_afs.png,mean,-0.0809276103973388,-0.20235361158847803,2,MHIST,0.12142600119113924
MHIST_agb.png,black,0.32209787766138703,0.36429748733838396,3,MHIST,-0.04219960967699693
MHIST_agb.png,blur,0.22856428225835165,0.25037987480560936,3,MHIST,-0.021815592547257706
MHIST_agb.png,mean,0.2268172800540924,0.2508411452174186,3,MHIST,-0.02402386516332622
MHIST_agd.png,black,0.20614339907964066,0.18308248172203698,3,MHIST,0.023060917357603683
MHIST_agd.png,blur,0.06842299302419019,0.12975255350271855,3,MHIST,-0.06132956047852836
MHIST_agd.png,mean,0.1075691978136698,0.18604251113202833,3,MHIST,-0.07847331331835852
MHIST_agh.png,black,0.3285062611103058,0.3604286633431911,2,MHIST,-0.03192240223288534
MHIST_agh.png,blur,0.1403368860483169,0.2037322141230106,2,MHIST,-0.0633953280746937
MHIST_agh.png,mean,0.1813140213489532,0.26815857887268063,2,MHIST,-0.08684455752372744
MHIST_agi.png,black,0.1589063704013824,0.2394813358783722,2,MHIST,-0.08057496547698981
MHIST_agi.png,blur,0.0423708856105804,0.09698104262351985,2,MHIST,-0.05461015701293945
MHIST_agi.png,mean,0.09363770484924311,0.1812410846352577,2,MHIST,-0.0876033797860146
MHIST_agk.png,black,0.15776169300079343,0.26217202420035995,3,MHIST,-0.10441033119956653
MHIST_agk.png,blur,0.08675165971120197,0.17685602655013397,3,MHIST,-0.090104366838932
MHIST_agk.png,mean,0.10937155286471047,0.19916763131817175,3,MHIST,-0.08979607845346128
MHIST_agu.png,black,0.12710746129353842,0.34787745724121727,3,MHIST,-0.22076999594767885
MHIST_agu.png,blur,0.10853050152460735,0.2889461497465769,3,MHIST,-0.18041564822196954
MHIST_agu.png,mean,0.14652490615844718,0.27961075554291404,3,MHIST,-0.13308584938446685
MHIST_agy.png,black,0.26857835054397583,0.42430526968091725,2,MHIST,-0.15572691913694142
MHIST_agy.png,blur,0.1928907930850982,0.2972470648586749,2,MHIST,-0.1043562717735767
MHIST_agy.png,mean,0.16493535041809076,0.32539363130927085,2,MHIST,-0.16045828089118008
MHIST_aha.png,black,0.2314628958702087,0.2859271279639668,3,MHIST,-0.054464232093758086
MHIST_aha.png,blur,0.17087932427724195,0.30131655964586473,3,MHIST,-0.13043723536862278
MHIST_aha.png,mean,0.20786521832148233,0.2821019743879636,3,MHIST,-0.07423675606648125
MHIST_ahb.png,black,0.28391110897064203,0.3378292348235845,2,MHIST,-0.05391812585294248
MHIST_ahb.png,blur,0.2567917108535766,0.13835650682449335,2,MHIST,0.11843520402908325
MHIST_ahb.png,mean,0.33335521817207336,0.2393823519349098,2,MHIST,0.09397286623716355
MHIST_ahd.png,black,0.16555818915367124,0.2603882337609926,3,MHIST,-0.09483004460732139
MHIST_ahd.png,blur,0.10246789455413813,0.2428730101102874,3,MHIST,-0.14040511555614926
MHIST_ahd.png,mean,0.17362225055694572,0.28335348481223693,3,MHIST,-0.10973123425529122
MHIST_aho.png,black,0.20773771405220026,0.3401854410767555,2,MHIST,-0.13244772702455526
MHIST_aho.png,blur,0.17731472849845886,0.2851553924381733,2,MHIST,-0.10784066393971442
MHIST_aho.png,mean,0.22880932688713068,0.3286718524992466,2,MHIST,-0.0998625256121159
MHIST_ahq.png,black,0.31980754931767774,0.3850711000462373,3,MHIST,-0.06526355072855955
MHIST_ahq.png,blur,0.2182537913322448,0.2879289507865906,3,MHIST,-0.0696751594543458
MHIST_ahq.png,mean,0.2404341200987498,0.3196107114354769,3,MHIST,-0.07917659133672714
MHIST_ahr.png,black,0.28053295612335205,0.3597688347101211,2,MHIST,-0.07923587858676906
MHIST_ahr.png,blur,0.30194358527660364,0.34314223006367683,2,MHIST,-0.04119864478707319
MHIST_ahr.png,mean,0.2955235242843628,0.3802677102386951,2,MHIST,-0.08474418595433231
MHIST_ahw.png,black,0.2332307994365692,0.3110102919240792,3,MHIST,-0.07777949248750998
MHIST_ahw.png,blur,0.20818695425987244,0.27412857388456663,3,MHIST,-0.06594161962469419
MHIST_ahw.png,mean,0.28152309854825336,0.3424872674047947,3,MHIST,-0.06096416885654132
MHIST_aie.png,black,-0.1234998106956482,-0.15236211518446605,3,MHIST,0.028862304488817853
MHIST_aie.png,blur,-0.0659785270690918,-0.13483931422233578,3,MHIST,0.06886078715324398
MHIST_aie.png,mean,-0.0657489895820617,-0.14474962552388504,3,MHIST,0.07900063594182334
MHIST_aif.png,black,0.18928925196329752,0.2914111062884331,3,MHIST,-0.10212185432513557
